original,translation
dah,sudah
kat,dekat
thnk you,thank you
dh,sudah
smpai,sampai
dgn,dengan
metiral,material
kecik,kecil
dr,dari
ckit,sikit
hrga,harga
xpuas,tidak puas
nape,kenapa
bg,bagi
ni,ini
kli,kali
yg,yang
tp,tetapi
x lembut,tidak lembut
sgt,sangat
dlu,dulu
bli,beli
lg,lagi
mybe,maybe
kna,kena
amk,ambil
sma,sama
dlm,dalam
gmbr,gambar
tuk,untuk
x,tidak
org,orang
nak,mahu
n,and
xde, tidak ada
tapi,tetapi
sbb,sebab
mcm,macam
dgn,dengan
dg,dengan
kite,kita
sy,saya
nk,nak
thx,thanks
